Name,Mean SNP born,Std SNP born,Mean Exploded SN,Std Exploded SN,Mean Exploded SN 1 Myr,Std Exploded SN 1 Myr,Mean Stars Still Existing,Std Stars Still Existing
Sco-Cen: US,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
Sco-Cen: UCL,6.0,2.0,2.0,1.0,0.0,0.0,4.0,3.0
Sco-Cen: LCC,4.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0
Vela OB2,11.0,2.0,2.0,1.0,0.0,0.0,9.0,2.0
Trumpler 10,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0
Cyg A,19.0,2.0,3.0,2.0,0.0,0.0,16.0,2.0
Cyg B,14.0,3.0,1.0,1.0,0.0,0.0,13.0,3.0
Cyg C,12.0,3.0,0.0,1.0,0.0,0.0,12.0,4.0
Cyg D,15.0,4.0,4.0,2.0,0.0,1.0,11.0,4.0
Cyg E,19.0,3.0,1.0,2.0,0.0,1.0,18.0,3.0
Cyg F,24.0,5.0,2.0,1.0,0.0,0.0,22.0,5.0
Cyg OB7,96.0,33.0,13.0,7.0,2.0,2.0,83.0,28.0
Aur 1,33.0,5.0,11.0,4.0,0.0,0.0,22.0,4.0
Aur 3,18.0,3.0,2.0,1.0,0.0,1.0,16.0,3.0
Aur 4,20.0,3.0,0.0,0.0,0.0,0.0,20.0,3.0
Ara OB1,42.0,10.0,0.0,0.0,0.0,0.0,42.0,10.0
Per OB2,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
Car OB1,47.0,6.0,1.0,1.0,1.0,1.0,46.0,5.0
CMa OB1,14.0,3.0,1.0,1.0,0.0,0.0,13.0,3.0
Mon OB1,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
Mon OB2,72.0,20.0,1.0,1.0,0.0,1.0,71.0,21.0
Sco OB1,156.0,15.0,4.0,2.0,2.0,1.0,152.0,15.0
Lac OB1,6.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0
Sct OB2,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Ser OB2,15.0,3.0,0.0,0.0,0.0,0.0,15.0,3.0
Ser OB1,104.0,11.0,1.0,1.0,1.0,1.0,103.0,11.0
